x_val,y_val,seed,mean_lpay
0.5000,0.3000,777,-15.0012
0.5000,0.3000,999,-13.4869
0.5000,0.3000,2024,-12.0554
0.5000,0.3000,314,-19.2600
0.5000,0.3000,1066,-14.1369
0.5000,0.3000,53,-12.4450
0.5000,0.3000,160,-16.8039
0.5000,0.3000,1031,-15.5320
0.0714,0.3500,42,64.6936
0.0714,0.3500,123,64.7626
0.0714,0.3500,777,65.2956
0.0714,0.3500,999,64.9726
0.0714,0.3500,2024,63.9830
0.0714,0.3500,314,65.3321
0.0714,0.3500,1066,65.0877
0.0714,0.3500,53,64.5123
0.0714,0.3500,160,64.3067
0.0714,0.3500,1031,65.4801
0.1429,0.3500,42,49.8550
0.1429,0.3500,123,49.8857
0.1429,0.3500,777,49.6546
0.1429,0.3500,999,48.6632
0.1429,0.3500,2024,48.2172
0.1429,0.3500,314,49.9908
0.1429,0.3500,1066,50.1220
0.1429,0.3500,53,47.8003
0.1429,0.3500,160,49.5170
0.1429,0.3500,1031,49.8197
0.2143,0.3500,42,36.6972
0.2143,0.3500,123,35.5266
0.2143,0.3500,777,36.0981
0.2143,0.3500,999,36.2062
0.2143,0.3500,2024,35.4958
0.2143,0.3500,314,36.2417
0.2143,0.3500,1066,35.7183
0.2143,0.3500,53,34.8046
0.2143,0.3500,160,34.4456
0.2143,0.3500,1031,36.0113
0.2857,0.3500,42,23.3850
0.2857,0.3500,123,21.6531
0.2857,0.3500,777,20.5689
0.2857,0.3500,999,23.4135
0.2857,0.3500,2024,23.5707
0.2857,0.3500,314,23.9910
0.2857,0.3500,1066,22.3027
0.2857,0.3500,53,22.3826
0.2857,0.3500,160,21.0432
0.2857,0.3500,1031,23.7610
0.3571,0.3500,42,13.1711
0.3571,0.3500,123,11.4087
0.3571,0.3500,777,11.2226
0.3571,0.3500,999,7.8895
0.3571,0.3500,2024,11.0869
0.3571,0.3500,314,11.5708
0.3571,0.3500,1066,8.6746
0.3571,0.3500,53,12.5215
0.3571,0.3500,160,10.6854
0.3571,0.3500,1031,10.9169
0.0000,0.4000,42,84.2982
0.0000,0.4000,123,84.2857
0.0000,0.4000,777,84.2836
0.0000,0.4000,999,84.2970
0.0000,0.4000,2024,84.2944
