tau_max,rho_max,seed,orig_regime,orig_lpay,orig_fpay,orig_rho,orig_d,orig_tau,probe_regime,probe_lpay,probe_fpay,probe_rho,probe_d,delta_L,delta_F,regime_flipped
0.3,0.3571,2024,Transition,5.157,27.771,0.1954,0.0869,0.2802,Transition,8.539,27.369,0.1861,0.0862,3.381,-0.403,0
0.3,0.4286,42,Transition,-5.744,28.006,0.2297,0.0845,0.2644,Transition,-1.058,28.007,0.2173,0.0851,4.686,0.001,0
0.3,0.4286,123,Transition,-6.723,26.984,0.2315,0.0802,0.2597,Transition,-2.55,27.629,0.2196,0.0848,4.173,0.645,0
0.3,0.4286,777,Transition,-4.126,29.243,0.229,0.0878,0.2779,Transition,-3.167,29.222,0.2269,0.0875,0.959,-0.021,0
0.3,0.4286,999,Transition,-5.359,29.564,0.2302,0.0911,0.2698,Transition,-2.223,29.446,0.2229,0.0903,3.136,-0.118,0
0.3,0.4286,2024,Transition,-3.732,28.695,0.2256,0.0873,0.2715,Transition,-4.329,28.749,0.2275,0.0871,-0.598,0.054,0
0.3,0.5,42,Escalation,-20.377,29.33,0.2809,0.0849,0.2525,Escalation,-15.581,29.284,0.268,0.0855,4.796,-0.046,0
0.3,0.5,123,Escalation,-17.998,32.154,0.2787,0.0948,0.2701,Escalation,-15.496,30.547,0.2716,0.0878,2.502,-1.607,0
0.3,0.5,777,Transition,-12.587,29.539,0.2604,0.0855,0.2687,Transition,-10.623,29.027,0.2539,0.0842,1.964,-0.512,0
0.3,0.5,999,Escalation,-15.815,30.003,0.2666,0.0883,0.2608,Transition,-14.926,30.442,0.268,0.0889,0.89,0.439,1
0.3,0.5,2024,Escalation,-18.236,31.741,0.2758,0.0966,0.2591,Escalation,-16.692,31.35,0.2742,0.0926,1.544,-0.391,0
0.35,0.0,42,Deterrence,81.027,32.897,0.0,0.1689,0.3462,Deterrence,81.182,33.858,0.0,0.174,0.155,0.961,0
0.35,0.0,123,Deterrence,80.999,30.364,0.0,0.1558,0.3459,Deterrence,81.182,30.089,0.0,0.1544,0.183,-0.275,0
0.35,0.0,777,Deterrence,80.983,26.011,0.0,0.1331,0.3457,Deterrence,81.182,28.101,0.0,0.1438,0.199,2.09,0
0.35,0.0,999,Deterrence,81.021,31.439,0.0,0.1614,0.3461,Deterrence,81.182,34.335,0.0,0.1764,0.161,2.896,0
0.35,0.0,2024,Deterrence,81.03,32.522,0.0,0.167,0.3462,Deterrence,81.182,34.534,0.0,0.1774,0.152,2.012,0
0.35,0.0714,42,Deterrence,63.956,22.497,0.0392,0.0988,0.3412,Deterrence,65.738,19.772,0.0362,0.0855,1.782,-2.725,0
0.35,0.0714,123,Deterrence,65.185,20.236,0.0369,0.0878,0.3448,Deterrence,65.776,19.87,0.0361,0.086,0.591,-0.366,0
0.35,0.0714,777,Deterrence,63.762,21.384,0.0397,0.0928,0.3413,Deterrence,64.357,21.977,0.0386,0.0962,0.595,0.593,0
0.35,0.0714,999,Deterrence,64.945,19.958,0.0373,0.0862,0.344,Deterrence,65.816,19.782,0.036,0.0856,0.871,-0.176,0
0.35,0.0714,2024,Deterrence,64.917,20.113,0.0371,0.0872,0.3423,Deterrence,64.211,20.394,0.0385,0.0882,-0.705,0.28,0
