tau_max,rho_max,seed,orig_regime,orig_lpay,orig_fpay,orig_rho,orig_d,orig_tau,probe_regime,probe_lpay,probe_fpay,probe_rho,probe_d,delta_L,delta_F,regime_flipped
0.4,0.0,123,Deterrence,84.284,25.671,0.0,0.1312,0.3951,Deterrence,84.339,34.315,0.0,0.1762,0.055,8.644,0
0.4,0.0,777,Deterrence,84.293,31.295,0.0,0.1607,0.3953,Deterrence,84.339,31.644,0.0,0.1624,0.046,0.349,0
0.4,0.0,999,Deterrence,84.308,30.271,0.0,0.1553,0.3954,Deterrence,84.339,26.69,0.0,0.1364,0.03,-3.581,0
0.4,0.0,2024,Deterrence,84.295,32.611,0.0,0.1675,0.3953,Deterrence,84.339,27.36,0.0,0.14,0.043,-5.251,0
0.4,0.0714,42,Deterrence,67.715,21.478,0.0386,0.0913,0.3924,Deterrence,67.412,21.896,0.0391,0.0932,-0.303,0.418,0
0.4,0.0714,123,Deterrence,67.532,22.87,0.0389,0.0985,0.3908,Deterrence,67.42,21.809,0.0391,0.0927,-0.112,-1.06,0
0.4,0.0714,777,Deterrence,68.903,20.59,0.0361,0.0877,0.3954,Deterrence,68.927,20.342,0.0361,0.0862,0.024,-0.248,0
0.4,0.0714,999,Deterrence,67.019,21.549,0.0401,0.091,0.3911,Deterrence,67.613,20.198,0.0387,0.0846,0.593,-1.351,0
0.4,0.0714,2024,Deterrence,67.202,21.17,0.0397,0.0892,0.3911,Deterrence,68.883,20.426,0.0362,0.0866,1.68,-0.744,0
0.4,0.1429,42,Deterrence,53.112,24.754,0.0761,0.0924,0.3883,Deterrence,53.233,24.396,0.0759,0.0903,0.121,-0.358,0
0.4,0.1429,123,Deterrence,52.87,24.645,0.0767,0.0917,0.3877,Deterrence,51.641,24.505,0.0797,0.0895,-1.229,-0.14,0
0.4,0.1429,777,Deterrence,55.14,23.74,0.0704,0.0901,0.3838,Deterrence,53.149,23.997,0.0747,0.0897,-1.99,0.258,0
0.4,0.1429,999,Deterrence,52.917,23.227,0.0758,0.0854,0.3809,Deterrence,52.103,23.381,0.0775,0.0852,-0.813,0.154,0
0.4,0.1429,2024,Deterrence,51.314,25.179,0.0805,0.093,0.3857,Deterrence,51.88,24.863,0.0785,0.0922,0.565,-0.316,0
0.4,0.2143,42,Deterrence,39.237,25.476,0.114,0.0833,0.3747,Deterrence,38.37,25.674,0.1163,0.0835,-0.868,0.198,0
0.4,0.2143,123,Deterrence,39.803,26.534,0.1124,0.0894,0.3735,Deterrence,39.874,26.258,0.1113,0.0884,0.07,-0.275,0
0.4,0.2143,777,Deterrence,39.906,27.329,0.1124,0.0928,0.3782,Deterrence,39.672,27.519,0.1128,0.0935,-0.234,0.19,0
0.4,0.2143,999,Deterrence,39.165,27.145,0.1141,0.0917,0.3743,Deterrence,38.883,28.561,0.1142,0.0996,-0.281,1.416,0
0.4,0.2143,2024,Deterrence,40.306,27.138,0.1115,0.0927,0.3747,Deterrence,40.29,26.553,0.1112,0.0905,-0.016,-0.585,0
0.4,0.2857,42,Deterrence,27.299,28.934,0.1517,0.0875,0.3782,Deterrence,26.342,29.563,0.1545,0.0896,-0.957,0.629,0
0.4,0.2857,123,Deterrence,19.022,33.192,0.1725,0.1069,0.3498,Deterrence,25.326,30.487,0.1557,0.0961,6.305,-2.705,0
0.4,0.2857,777,Deterrence,26.589,28.961,0.1543,0.0863,0.3809,Deterrence,24.848,29.037,0.1596,0.0845,-1.74,0.076,0
0.4,0.2857,999,Deterrence,27.582,28.54,0.1515,0.0863,0.3752,Deterrence,26.822,28.757,0.1528,0.0877,-0.76,0.216,0
0.4,0.2857,2024,Deterrence,26.929,28.081,0.1505,0.0859,0.3629,Deterrence,26.36,28.369,0.152,0.0868,-0.569,0.287,0
