x_val,y_val,seed,mean_lpay
0.3571,0.3000,42,-3.8843
0.3571,0.3000,123,-17.6475
0.3571,0.3000,777,-4.1871
0.3571,0.3000,999,-7.1651
0.3571,0.3000,2024,-18.7323
0.3571,0.3000,314,-15.3778
0.3571,0.3000,1066,-6.2396
0.3571,0.3000,53,6.0323
0.3571,0.3000,160,-26.7895
0.3571,0.3000,1031,-14.5610
0.4286,0.3000,42,-41.7988
0.4286,0.3000,123,-20.4073
0.4286,0.3000,777,-38.1963
0.4286,0.3000,999,-30.9848
0.4286,0.3000,2024,-29.2948
0.4286,0.3000,314,-21.7576
0.4286,0.3000,1066,-6.9213
0.4286,0.3000,53,-28.4533
0.4286,0.3000,160,-14.1671
0.4286,0.3000,1031,-17.0389
0.0000,0.3500,42,81.0298
0.0000,0.3500,123,81.0348
0.0000,0.3500,777,81.0053
0.0000,0.3500,999,80.9966
0.0000,0.3500,2024,81.0369
0.0000,0.3500,314,81.0211
0.0000,0.3500,1066,80.9267
0.0000,0.3500,53,81.0167
0.0000,0.3500,160,81.0165
0.0000,0.3500,1031,81.0212
0.5000,0.3000,42,-54.1441
0.5000,0.3000,123,-31.1248
0.5000,0.3000,777,-28.6417
0.5000,0.3000,999,-36.1892
0.5000,0.3000,2024,-27.3328
0.5000,0.3000,314,-37.5810
0.5000,0.3000,1066,-27.5920
0.5000,0.3000,53,-39.9022
0.5000,0.3000,160,-32.1351
0.5000,0.3000,1031,-30.2986
0.0714,0.3500,42,61.5530
0.0714,0.3500,123,65.6311
0.0714,0.3500,777,61.9724
0.0714,0.3500,999,68.4782
0.0714,0.3500,2024,64.5849
0.0714,0.3500,314,62.9009
0.0714,0.3500,1066,58.4420
0.0714,0.3500,53,68.2745
0.0714,0.3500,160,61.4243
0.0714,0.3500,1031,64.1656
0.1429,0.3500,42,43.5330
0.1429,0.3500,123,32.8674
0.1429,0.3500,777,38.7967
0.1429,0.3500,999,42.4443
0.1429,0.3500,2024,55.9749
0.1429,0.3500,314,50.7774
0.1429,0.3500,1066,45.6750
0.1429,0.3500,53,41.5385
0.1429,0.3500,160,35.8847
0.1429,0.3500,1031,48.3854
0.2143,0.3500,42,16.2002
0.2143,0.3500,123,30.2916
0.2143,0.3500,777,19.4482
0.2143,0.3500,999,22.3129
0.2143,0.3500,2024,29.3821
0.2143,0.3500,314,26.9395
0.2143,0.3500,1066,28.5041
0.2143,0.3500,53,20.6918
0.2143,0.3500,160,25.2354
0.2143,0.3500,1031,27.6016
0.2857,0.3500,42,17.6322
0.2857,0.3500,123,4.8369
0.2857,0.3500,777,1.4673
0.2857,0.3500,999,5.3077
0.2857,0.3500,2024,-4.9949
0.2857,0.3500,314,-0.1663
0.2857,0.3500,1066,3.2614
0.2857,0.3500,53,14.7476
0.2857,0.3500,160,13.5094
0.2857,0.3500,1031,9.0465
0.3571,0.3500,42,-5.4412
0.3571,0.3500,123,0.3166
0.3571,0.3500,777,1.8347
0.3571,0.3500,999,-3.2643
0.3571,0.3500,2024,-8.2788
0.3571,0.3500,314,-12.9050
0.3571,0.3500,1066,2.6656
0.3571,0.3500,53,0.4967
0.3571,0.3500,160,-23.8648
0.3571,0.3500,1031,-12.0853
0.0000,0.4000,42,84.3322
0.0000,0.4000,123,84.3386
0.0000,0.4000,777,84.3361
0.0000,0.4000,999,84.3069
0.0000,0.4000,2024,84.3209
0.0000,0.4000,314,84.3198
0.0000,0.4000,1066,84.3122
0.0000,0.4000,53,84.1246
0.0000,0.4000,160,84.3233
0.0000,0.4000,1031,84.2945
0.4286,0.3500,42,-41.3463
0.4286,0.3500,123,-34.9958
0.4286,0.3500,777,-40.4044
0.4286,0.3500,999,-19.4471
0.4286,0.3500,2024,-22.5204
0.4286,0.3500,314,-17.8940
0.4286,0.3500,1066,-28.9811
0.4286,0.3500,53,-27.4894
0.4286,0.3500,160,-32.2649
0.4286,0.3500,1031,-11.3537
0.5000,0.3500,42,-21.5654
0.5000,0.3500,123,-38.6963
0.5000,0.3500,777,-19.2710
0.5000,0.3500,999,-22.7980
0.5000,0.3500,2024,-23.8190
0.5000,0.3500,314,-29.5053
0.5000,0.3500,1066,-1.6894
0.5000,0.3500,53,-46.4867
0.5000,0.3500,160,-26.8346
0.5000,0.3500,1031,-27.7539
0.0714,0.4000,42,66.4515
0.0714,0.4000,123,64.4825
0.0714,0.4000,777,64.7412
0.0714,0.4000,999,65.0158
0.0714,0.4000,2024,64.0403
0.0714,0.4000,314,63.1788
0.0714,0.4000,1066,61.9350
0.0714,0.4000,53,63.6786
0.0714,0.4000,160,67.9272
0.0714,0.4000,1031,68.0642
0.1429,0.4000,42,34.8749
0.1429,0.4000,123,40.7711
0.1429,0.4000,777,41.6331
0.1429,0.4000,999,39.1444
0.1429,0.4000,2024,47.3085
0.1429,0.4000,314,48.0360
0.1429,0.4000,1066,43.5792
0.1429,0.4000,53,47.1285
0.1429,0.4000,160,48.1054
0.1429,0.4000,1031,60.6567
0.2143,0.4000,42,24.3658
0.2143,0.4000,123,34.1717
0.2143,0.4000,777,33.8064
0.2143,0.4000,999,24.5423
0.2143,0.4000,2024,28.2315
0.2143,0.4000,314,31.1282
0.2143,0.4000,1066,32.2293
0.2143,0.4000,53,26.3296
0.2143,0.4000,160,23.1286
